wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
2;dolnośląskie;215;oławski;215011;Oława;;33087;18496;17898;55,9011;54,0938
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;34215;33402;55,4035;54,0871
24;śląskie;2416;zawierciański;2416021;Zawiercie;;48703;27100;26333;55,6434;54,0685
32;zachodniopomorskie;3213;sławieński;3213011;Darłowo;Koszaliński;13574;7594;7338;55,9452;54,0592
30;wielkopolskie;3004;gostyński;3004063;gm.m-w. Pogorzela;Leszczyński;4907;2723;2652;55,4922;54,0452
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;11249;10887;55,8402;54,0432
22;pomorskie;2204;gdański;2204042;gm.w Pruszcz Gdański;;32184;17922;17388;55,6861;54,0268
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;27738;26747;55,9956;53,9951
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;24652;23689;56,1767;53,9822
30;wielkopolskie;3019;pilski;3019011;Piła;;72527;40681;39142;56,0908;53,9689
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;7093;6924;55,2543;53,9378
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;120734;117260;55,5022;53,9052
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4282;4128;55,8935;53,8833
30;wielkopolskie;3022;rawicki;3022053;gm.m-w. Rawicz;;30299;16786;16324;55,4012;53,8764
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;14710;14244;55,6333;53,8709
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2581;2513;55,315;53,8577
14;mazowieckie;1428;sochaczewski;1428082;gm.w Teresin;Skierniewicki;11542;6425;6215;55,6663;53,8468
24;śląskie;2471;Piekary Śląskie;2471011;Piekary Śląskie;;54702;30308;29447;55,4057;53,8317
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;35443;34420;55,4273;53,8275
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20832;20340;55,1097;53,8081
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10662;10331;55,5168;53,7933
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4506;4372;55,4312;53,7828
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;26293;25498;55,4412;53,7649
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;75565;73344;55,3902;53,7622
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;3030;2964;54,951;53,7541
6;lubelskie;611;łukowski;611021;Stoczek Łukowski;Siedlecki;2480;1371;1333;55,2823;53,75
4;kujawsko-pomorskie;401;aleksandrowski;401062;gm.w Koneck;Włocławski;3103;1723;1667;55,5269;53,7222
32;zachodniopomorskie;3209;koszaliński;3209053;gm.m-w. Mielno;Koszaliński;4881;2711;2622;55,5419;53,7185
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;11258;10896;55,4937;53,7093
12;małopolskie;1206;krakowski;1206052;gm.w Kocmyrzów-Luborzyca;Krakowski;16020;8905;8603;55,5868;53,7016
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8575;8315;55,3619;53,6833
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8874;8614;55,2794;53,6598
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3513;3409;55,2706;53,6344
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12634;12325;54,9376;53,5939
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;32828;31840;55,2381;53,5756
32;zachodniopomorskie;3202;choszczeński;3202023;gm.m-w. Choszczno;Gorzowski;21529;11805;11527;54,833;53,5417
24;śląskie;2401;będziński;2401081;Sławków;Katowicki;6935;3830;3713;55,2271;53,54
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;19937;19213;55,5487;53,5315
30;wielkopolskie;3063;Leszno;3063011;Leszno;;62854;34612;33645;55,0673;53,5288
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;14366;13854;55,5058;53,5275
24;śląskie;2402;bielski;2402072;gm.w Kozy;Bielski;13091;7159;7000;54,6864;53,4719
26;świętokrzyskie;2602;jędrzejowski;2602063;gm.m-w. Sędziszów;Kielecki;12352;6783;6603;54,9142;53,4569
8;lubuskie;810;żagański;810021;Żagań;Zielonogórski;25265;13850;13504;54,8189;53,4494
30;wielkopolskie;3023;słupecki;3023042;gm.w Ostrowite;Koniński;5054;2781;2701;55,0257;53,4428
24;śląskie;2402;bielski;2402043;gm.m-w. Czechowice-Dziedzice;;45490;24991;24311;54,9373;53,4425
2;dolnośląskie;219;świdnicki;219011;Świdnica;;56222;30969;30045;55,0834;53,4399
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1549;1524;54,2937;53,4175
4;kujawsko-pomorskie;404;chełmiński;404032;gm.w Kijewo Królewskie;Toruński;4521;2458;2414;54,3685;53,3953
24;śląskie;2414;bieruńsko-lędziński;2414021;Imielin;Katowicki;9269;5081;4949;54,8171;53,393
32;zachodniopomorskie;3261;Koszalin;3261011;Koszalin;;106235;58325;56711;54,9019;53,3826
30;wielkopolskie;3030;wrzesiński;3030023;gm.m-w. Miłosław;Poznański;10144;5562;5414;54,8304;53,3715
12;małopolskie;1208;miechowski;1208072;gm.w Słaboszów;Kielecki;3487;1914;1861;54,8896;53,3697
2;dolnośląskie;261;Jelenia Góra;261011;Jelenia Góra;;78335;43127;41806;55,0546;53,3682
2;dolnośląskie;220;trzebnicki;220042;gm.w Wisznia Mała;Wrocławski;10624;5831;5668;54,8852;53,3509
30;wielkopolskie;3006;jarociński;3006023;gm.m-w. Jarocin;;45801;25230;24430;55,0861;53,3394
12;małopolskie;1213;oświęcimski;1213093;gm.m-w. Zator;Bielski;9231;5100;4923;55,2486;53,3312
4;kujawsko-pomorskie;417;wąbrzeski;417011;Wąbrzeźno;Toruński;13400;7369;7145;54,9925;53,3209
10;łódzkie;1017;wieluński;1017093;gm.m-w. Wieluń;;31137;17085;16599;54,8704;53,3096
30;wielkopolskie;3019;pilski;3019073;gm.m-w. Ujście;Pilski;7946;4380;4234;55,1221;53,2847
6;lubelskie;614;puławski;614011;Puławy;;46965;25798;25013;54,9303;53,2588
26;świętokrzyskie;2602;jędrzejowski;2602093;gm.m-w. Wodzisław;Kielecki;6893;3809;3671;55,259;53,2569
