wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
22;pomorskie;2215;wejherowski;2215021;Rumia;;49536;27532;26505;55,5798;53,5065
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;120032;116391;55,1795;53,5057
14;mazowieckie;1402;ciechanowski;1402011;Ciechanów;;43883;24505;23469;55,8417;53,4808
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4256;4096;55,5541;53,4656
10;łódzkie;1008;pabianicki;1008021;Pabianice;;63945;35309;34182;55,2178;53,4553
8;lubuskie;805;słubicki;805053;gm.m-w. Słubice;Gorzowski;20145;11120;10765;55,1998;53,4376
4;kujawsko-pomorskie;401;aleksandrowski;401062;gm.w Koneck;Włocławski;3103;1711;1658;55,1402;53,4322
14;mazowieckie;1419;płocki;1419122;gm.w Słupno;Płocki;8129;4472;4342;55,0129;53,4137
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;75095;72868;55,0457;53,4133
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;11201;10832;55,2127;53,3938
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20730;20182;54,8398;53,3901
30;wielkopolskie;3030;wrzesiński;3030053;gm.m-w. Września;;47425;26153;25320;55,146;53,3896
14;mazowieckie;1428;sochaczewski;1428082;gm.w Teresin;Skierniewicki;11542;6379;6162;55,2677;53,3876
30;wielkopolskie;3027;turecki;3027011;Turek;Koniński;26441;14622;14108;55,3005;53,3565
32;zachodniopomorskie;3202;choszczeński;3202012;gm.w Bierzwnik;Gorzowski;4666;2565;2489;54,9721;53,3433
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;3008;2940;54,552;53,3188
14;mazowieckie;1408;legionowski;1408052;gm.w Wieliszew;Warszawski;16053;8826;8559;54,9804;53,3171
4;kujawsko-pomorskie;404;chełmiński;404011;Chełmno;Toruński;19205;10548;10239;54,9232;53,3142
30;wielkopolskie;3004;gostyński;3004063;gm.m-w. Pogorzela;Leszczyński;4907;2705;2613;55,1253;53,2505
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12580;12245;54,7028;53,2461
22;pomorskie;2214;tczewski;2214011;Tczew;;59430;32600;31643;54,8545;53,2442
14;mazowieckie;1417;otwocki;1417072;gm.w Sobienie-Jeziory;Siedlecki;6356;3488;3384;54,8773;53,241
14;mazowieckie;1428;sochaczewski;1428011;Sochaczew;;35891;19842;19105;55,2841;53,2306
6;lubelskie;611;łukowski;611021;Stoczek Łukowski;Siedlecki;2480;1358;1320;54,7581;53,2258
32;zachodniopomorskie;3202;choszczeński;3202023;gm.m-w. Choszczno;Gorzowski;21529;11744;11453;54,5497;53,198
24;śląskie;2404;częstochowski;2404162;gm.w Starcza;Częstochowski;2853;1541;1517;54,0133;53,1721
28;warmińsko-mazurskie;2809;lidzbarski;2809011;Lidzbark Warmiński;Olsztyński;15489;8533;8235;55,0907;53,1668
12;małopolskie;1208;miechowski;1208072;gm.w Słaboszów;Kielecki;3487;1906;1853;54,6602;53,1402
4;kujawsko-pomorskie;404;chełmiński;404032;gm.w Kijewo Królewskie;Toruński;4521;2444;2401;54,0588;53,1077
14;mazowieckie;1406;grójecki;1406053;gm.m-w. Grójec;Radomski;25882;14299;13744;55,2469;53,1025
