wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10832;10460;59,4218;57,3811
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3982;3864;59,0889;57,3379
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5254;5088;59,1867;57,3167
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2327;2256;59,0759;57,2734
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10360;10002;59,2474;57,2
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;17016;16392;59,3078;57,1329
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9496;9090;59,6108;57,0621
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7651;7230;60,3724;57,0504
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18620;18012;58,9651;57,0397
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;201058;195756;58,4316;56,8908
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;115985;112966;58,3975;56,8774
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;6014;5781;59,1638;56,8716
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7918;7705;58,3751;56,8048
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;8049;7817;58,3853;56,7025
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6150;5981;58,2773;56,6758
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2041;2003;57,6391;56,5659
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;11062;10612;58,9533;56,5551
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;114728;111616;58,0648;56,4898
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19626;19074;58,1218;56,4871
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8880;8574;58,4249;56,4116
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14537;14117;58,0065;56,3306
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15679;15236;57,9309;56,2941
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9887;9533;58,3579;56,2684
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;19206;18483;58,4231;56,2238
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;16151;15671;57,8972;56,1765
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20391;19742;58,0213;56,1746
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2915;2823;57,9523;56,1233
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;8351;7826;59,8166;56,0562
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17914;17326;57,9572;56,0549
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;81267;78964;57,6804;56,0458
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;230174;222903;57,7956;55,9699
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;14018;13509;58,0648;55,9564
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2844;2759;57,6759;55,9521
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;32273;31143;57,9689;55,9391
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1928;1848;58,3182;55,8984
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23521;22916;57,3641;55,8886
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17921;17308;57,737;55,7621
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8261;8035;57,2766;55,7096
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6412;6196;57,5635;55,6244
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;27335;26497;57,3602;55,6017
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15487;15016;57,2659;55,5243
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;21444;20857;57,079;55,5165
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;5089;4904;57,5679;55,4751
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;40978;39761;57,1728;55,4748
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6544;6300;57,5904;55,4431
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;25477;24568;57,4881;55,437
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4827;4687;57,05;55,3953
30;wielkopolskie;3014;międzychodzki;3014043;gm.m-w. Sieraków;Poznański;8641;4963;4781;57,4355;55,3292
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10486;10049;57,7264;55,3207
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;23593;22620;57,662;55,284
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5194;5022;57,1649;55,2718
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;67314;65315;56,9083;55,2183
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3160;3053;57,1016;55,1681
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8764;8473;57,0461;55,152
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6833;6639;56,6678;55,0589
16;opolskie;1661;Opole;1661011;Opole;;127839;72439;70322;56,6642;55,0083
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6939;6739;56,6357;55,0033
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;5110;4974;56,5015;54,9978
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2442;2380;56,4233;54,9908
24;śląskie;2401;będziński;2401011;Będzin;;56008;31869;30789;56,9008;54,9725
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2540;2465;56,608;54,9365
14;mazowieckie;1462;Płock;1462011;Płock;;118268;66651;64885;56,3559;54,8627
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1966;1902;56,6897;54,8443
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1962;1870;57,5198;54,8226
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9427;9194;56,19;54,8012
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;97051;93784;56,6724;54,7647
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8677;8373;56,7384;54,7505
