teryt,municipality,%_vaccinated
1821022,gm.w Cisna,52.061
3026012,gm.w Brodnica,52.0604
0211011,Lubin,52.0541
1005062,gm.w Kocierzew Południowy,52.0459
3010043,gm.m-w. Kleczew,52.0388
1020043,gm.m-w. Aleksandrów Łódzki,52.0269
1602022,gm.w Branice,52.0195
2405042,gm.w Pilchowice,52.0185
2610053,gm.m-w. Suchedniów,52.0028
3009011,Koło,52.0026
0409022,gm.w Jeziora Wielkie,51.9967
0210021,Świeradów-Zdrój,51.99
2602012,gm.w Imielno,51.9879
2468011,Jaworzno,51.9874
3025012,gm.w Dominowo,51.9497
1413011,Mława,51.9451
1438011,Żyrardów,51.9393
2402082,gm.w Porąbka,51.935
0411042,gm.w Osięciny,51.9325
2211023,gm.m-w. Jastarnia,51.9029
0808032,gm.w Skąpe,51.8987
1434123,gm.m-w. Wołomin,51.8946
0401072,gm.w Raciążek,51.8935
3217033,gm.m-w. Mirosławiec,51.8871
1403011,Garwolin,51.8749
0414082,gm.w Pruszcz,51.8728
0410033,gm.m-w. Nakło nad Notecią,51.8699
1427011,Sierpc,51.8496
2808011,Kętrzyn,51.8404
1429011,Sokołów Podlaski,51.8337
0810011,Gozdnica,51.8307
1013011,Rawa Mazowiecka,51.8176
1423063,gm.m-w. Przysucha,51.817
1206072,gm.w Liszki,51.8148
1212073,gm.m-w. Wolbrom,51.813
1016011,Tomaszów Mazowiecki,51.8064
0265011,Wałbrzych,51.7927
3016023,gm.m-w. Rogoźno,51.7799
0225021,Zgorzelec,51.7612
0407073,gm.m-w. Pakość,51.7583
2605033,gm.m-w. Końskie,51.7514
1206143,gm.m-w. Świątniki Górne,51.7472
2205083,gm.m-w. Żukowo,51.7468
2414011,Bieruń,51.7316
0407092,gm.w Złotniki Kujawskie,51.7275
3010013,gm.m-w. Golina,51.7099
2608013,gm.m-w. Działoszyce,51.6956
1607053,gm.m-w. Nysa,51.6872
2402093,gm.m-w. Wilamowice,51.6522
0402102,gm.w Zbiczno,51.652
1411011,Maków Mazowiecki,51.6449
0213033,gm.m-w. Milicz,51.6341
2215031,Wejherowo,51.6324
3216011,Świdwin,51.6234
0414093,gm.m-w. Świecie,51.6144
1412042,gm.w Cegłów,51.614
2209062,gm.w Miłoradz,51.6013
0810043,gm.m-w. Iłowa,51.601
1437022,gm.w Kuczbork-Osada,51.5881
1208022,gm.w Gołcza,51.5744
0221042,gm.w Czarny Bór,51.5567
0619011,Włodawa,51.537
1411082,gm.w Rzewnie,51.5245
3211043,gm.m-w. Police,51.5213
2416053,gm.m-w. Łazy,51.5046
2815011,Ostróda,51.5039
3203052,gm.w Wierzchowo,51.479
